ID,NAMA MK,JENIS,SKS,NILAI
Alumni002,DISAIN PEMODELAN GRAFIK,W,1,A
Alumni002,FISIKA DAN KIMIA DASAR 1,W,2,A
Alumni002,FISIKA DAN KIMIA DASAR 2,W,2,A
Alumni002,FORENSIK TEKNOLOGI INFORMASI,W,2,A
Alumni002,GRAFIK KOMPUTER 1,W,2,B
Alumni002,GRAFIK KOMPUTER 2,W,2,B
Alumni002,ILMU BUDAYA DASAR,W,1,A
Alumni002,ILMU SOSIAL DASAR,W,1,A
Alumni002,INFORMATIKA KESEHATAN,P,2,B
Alumni002,INTERAKSI MANUSIA DAN KOMPUTER,U,3,B
Alumni002,JARINGAN KOMPUTER,U,3,B
Alumni002,JARINGAN KOMPUTER LANJUT,P,2,B
Alumni002,KECERDASAN BUATAN,W,2,A
Alumni002,KOMPUTASI MODERN,W,1,A
Alumni002,KONSEP DATA MINING,P,2,B
Alumni002,KONSEP TEKNOLOGI INFORMASI,W,3,A
Alumni002,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,W,2,A
Alumni002,MATEMATIKA DASAR 1,W,2,B
Alumni002,MATEMATIKA DASAR 2,U,2,C
Alumni002,MATEMATIKA INFORMATIKA 1,W,2,A
Alumni002,MATEMATIKA INFORMATIKA 2   ,W,2,A
Alumni002,MATEMATIKA INFORMATIKA 3,W,2,A
Alumni002,MATEMATIKA INFORMATIKA 4,U,2,B
Alumni002,MATEMATIKA LANJUT 1,W,2,B
Alumni002,MATEMATIKA LANJUT 2,W,2,B
Alumni002,ORGANISASI SISTEM KOMPUTER,U,2,B
Alumni002,PEMODELAN DAN SIMULASI,W,2,B
Alumni002,PEMROGRAMAN BERBASIS OBJEK,W,2,A
Alumni002,PEMROGRAMAN JARINGAN,W,2,A
Alumni002,PEMROGRAMAN MULTIMEDIA,P,2,B
Alumni002,PEMROGRAMAN WEB,W,2,A
Alumni002,PENDIDIKAN AGAMA,W,2,A
Alumni002,PENDIDIKAN KEWARGANEGARAAN,W,2,A
Alumni002,PENDIDIKAN PANCASILA,U,2,A
Alumni002,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA,W,1,A
Alumni002,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA,W,3,B
Alumni002,PENGANTAR WEB SCIENCE,W,1,A
Alumni002,PENGELOLAAN PROYEK PERANGKAT LUNAK,W,3,A
Alumni002,PENGOLAHAN CITRA,W,2,B
Alumni002,PENULISAN ILMIAH / KERJA PRAKTEK,W,2,A
Alumni002,PERANCANGAN DAN ANALISA ALGORITMA,U,3,A
Alumni002,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1,W,1,A
Alumni002,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2,W,1,A
Alumni002,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3,W,1,A
Alumni002,PRAKTIKUM FISIKA DASAR,W,1,B
Alumni002,REKAYASA KOMPUTASIONAL,W,2,B
Alumni002,REKAYASA PERANGKAT LUNAK 1,W,2,A
Alumni002,REKAYASA PERANGKAT LUNAK 2,U,2,B
Alumni002,RISET OPERASIONAL,W,2,B
Alumni002,SISTEM BASIS DATA 1,W,3,A
Alumni002,SISTEM BASIS DATA 2,U,3,A
Alumni002,SISTEM BERKAS,U,2,A
Alumni002,SISTEM INFORMASI,U,2,B
Alumni002,SISTEM INFORMASI AKUNTANSI DAN KEUANGAN,P,2,A
Alumni002,SISTEM INFORMASI MANAJEMEN,W,2,A
Alumni002,SISTEM KEAMANAN KOMPUTER,W,2,A
Alumni002,SISTEM MULTIMEDIA,W,2,A
Alumni002,SISTEM OPERASI,U,3,A
Alumni002,SISTEM TERDISTRIBUSI,P,2,B
Alumni002,SKRIPSI / EVALUASI KOMPREHENSIF,W,6,B
Alumni002,STATISTIKA 1,W,2,B
Alumni002,STATISTIKA 2,W,2,A
Alumni002,STRUKTUR DATA  ,W,2,A
Alumni002,TEKNIK KOMPILASI,W,3,B
Alumni002,TEKNOLOGI GAME,W,1,A
Alumni002,TEORI BAHASA DAN OTOMATA,U,3,B
Alumni003,ALGORITMA DAN PEMROGRAMAN 1,W,2,A
Alumni003,ALGORITMA DAN PEMROGRAMAN 2,U,2,B
Alumni003,ALGORITMA DAN PEMROGRAMAN 3,U,2,A
Alumni003,ALGORITMA DAN PENGOLAHAN PARALEL,W,3,B
Alumni003,ALGORITMA DEEP LEARNING,W,2,A
Alumni003,ARSITEKTUR KOMPUTER,U,2,A
Alumni003,BAHASA INDONESIA,W,2,A
Alumni003,BAHASA INGGRIS 1,W,1,B
Alumni003,BAHASA INGGRIS 2,W,1,B
Alumni003,BAHASA INGGRIS BISNIS 1,W,1,A
Alumni003,BAHASA INGGRIS BISNIS 2,W,1,B
Alumni003,BISNIS INFORMATIKA,W,1,A
Alumni003,DISAIN PEMODELAN GRAFIK,W,1,A
Alumni003,FISIKA DAN KIMIA DASAR 1,W,2,C
Alumni003,FISIKA DAN KIMIA DASAR 2,W,2,B
Alumni003,FORENSIK TEKNOLOGI INFORMASI,W,2,A
Alumni003,GRAFIK KOMPUTER 1,W,2,A
Alumni003,GRAFIK KOMPUTER 2,W,2,B
Alumni003,ILMU BUDAYA DASAR,W,1,A
Alumni003,ILMU SOSIAL DASAR,W,1,B
Alumni003,INFORMATIKA KESEHATAN,P,2,B
Alumni003,INTERAKSI MANUSIA DAN KOMPUTER,U,3,B
Alumni003,JARINGAN KOMPUTER,U,3,A
Alumni003,JARINGAN KOMPUTER LANJUT,P,2,B
Alumni003,KECERDASAN BUATAN,W,2,C
Alumni003,KOMPUTASI MODERN,W,1,A
Alumni003,KONSEP DATA MINING,P,2,B
Alumni003,KONSEP TEKNOLOGI INFORMASI,W,3,A
Alumni003,LEGAL ASPEK PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI,W,2,B
Alumni003,MATEMATIKA DASAR 1,W,2,C
Alumni003,MATEMATIKA DASAR 2,U,2,A
Alumni003,MATEMATIKA INFORMATIKA 1,W,2,B
Alumni003,MATEMATIKA INFORMATIKA 2,W,2,B
Alumni003,MATEMATIKA INFORMATIKA 3,W,2,B
Alumni003,MATEMATIKA INFORMATIKA 4,U,2,B
Alumni003,MATEMATIKA LANJUT 1,W,2,C
Alumni003,MATEMATIKA LANJUT 2,W,2,A
Alumni003,ORGANISASI SISTEM KOMPUTER,U,2,B
Alumni003,PEMODELAN DAN SIMULASI,W,2,C
Alumni003,PEMROGRAMAN BERBASIS OBJEK,W,2,B
Alumni003,PEMROGRAMAN JARINGAN,W,2,B
Alumni003,PEMROGRAMAN MULTIMEDIA,P,2,A
Alumni003,PEMROGRAMAN WEB,W,2,A
Alumni003,PENDIDIKAN AGAMA,W,2,A
Alumni003,PENDIDIKAN KEWARGANEGARAAN,W,2,A
Alumni003,PENDIDIKAN PANCASILA,U,2,A
Alumni003,PENGANTAR TEKNOLOGI INTERNET DAN NEW MEDIA,W,1,B
Alumni003,PENGANTAR TEKNOLOGI KOMPUTER DAN INFORMATIKA,W,3,B
Alumni003,PENGANTAR WEB SCIENCE,W,1,A
Alumni003,PENGELOLAAN PROYEK PERANGKAT LUNAK,W,3,A
Alumni003,PENGOLAHAN CITRA,W,2,B
Alumni003,PENULISAN ILMIAH / KERJA PRAKTEK,W,2,A
Alumni003,PERANCANGAN DAN ANALISA ALGORITMA,W,3,B
Alumni003,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 1,W,1,A
Alumni003,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 2,W,1,A
Alumni003,PRAKTIKUM ALGORITMA DAN PEMROGRAMAN 3,W,1,B
Alumni003,PRAKTIKUM FISIKA DASAR,W,1,B
Alumni003,REKAYASA KOMPUTASIONAL,W,2,B
Alumni003,REKAYASA PERANGKAT LUNAK 1,W,2,A
Alumni003,REKAYASA PERANGKAT LUNAK 2,U,2,B
Alumni003,RISET OPERASIONAL,P,2,B
Alumni003,SISTEM BASIS DATA 1,W,3,B
Alumni003,SISTEM BASIS DATA 2,U,3,B
Alumni003,SISTEM BERKAS,U,2,A
Alumni003,SISTEM INFORMASI,U,2,B
Alumni003,SISTEM INFORMASI AKUNTANSI DAN KEUANGAN,W,2,A
Alumni003,SISTEM INFORMASI MANAJEMEN,W,2,A
Alumni003,SISTEM KEAMANAN KOMPUTER,W,2,B
Alumni003,SISTEM MULTIMEDIA,W,2,B
Alumni003,SISTEM OPERASI,U,3,B
Alumni003,SISTEM TERDISTRIBUSI,P,2,B
Alumni003,SKRIPSI / EVALUASI KOMPREHENSIF,W,6,A
Alumni003,STATISTIKA 1,W,2,C
Alumni003,STATISTIKA 2,W,2,A
Alumni003,STRUKTUR DATA,W,2,C
Alumni003,TEKNIK KOMPILASI,W,3,B
Alumni003,TEKNOLOGI GAME,W,1,B
Alumni003,TEORI BAHASA DAN OTOMATA,U,3,B
Alumni004,ALGORITMA DAN PEMROGRAMAN 1,W,2,B
