iter	Passed	Remaining
385	777	1237
386	779	1234
387	781	1232
388	783	1230
389	785	1228
390	787	1225
391	788	1223
392	790	1220
393	792	1218
394	794	1216
395	796	1214
396	798	1212
397	800	1211
398	802	1209
399	804	1206
400	806	1204
401	807	1201
402	809	1198
403	811	1196
404	813	1195
405	815	1192
406	816	1190
407	818	1188
408	820	1185
409	822	1183
410	823	1180
411	825	1177
412	827	1176
413	830	1175
414	831	1172
415	833	1170
416	835	1168
417	837	1165
418	839	1163
419	841	1161
420	843	1159
421	845	1158
422	847	1156
423	849	1154
424	851	1151
425	853	1149
426	855	1147
427	856	1145
428	859	1143
429	861	1141
430	863	1139
431	865	1137
432	867	1135
433	868	1132
434	870	1130
435	871	1127
436	873	1125
437	875	1123
438	877	1121
439	879	1119
440	881	1117
441	883	1115
442	885	1113
443	887	1111
444	889	1109
445	891	1107
446	893	1105
447	895	1103
448	898	1102
449	899	1099
450	901	1097
451	903	1095
452	904	1092
453	906	1090
454	908	1088
455	910	1086
456	912	1084
457	914	1082
458	916	1080
459	918	1078
460	920	1076
461	921	1073
462	923	1071
463	925	1069
464	927	1067
465	929	1065
466	931	1062
467	932	1060
468	934	1058
469	936	1055
470	938	1053
471	940	1051
472	942	1050
473	944	1047
474	946	1046
475	948	1043
476	949	1041
477	951	1039
478	953	1036
479	954	1034
480	956	1032
481	958	1029
482	960	1027
483	961	1025
484	963	1022
485	965	1020
486	966	1018
487	968	1016
488	970	1013
489	971	1011
490	973	1009
491	975	1007
492	977	1004
493	978	1002
494	980	1000
495	982	998
496	983	995
497	985	993
498	986	990
499	988	988
500	990	986
501	992	984
502	993	982
503	995	979
504	997	977
505	998	975
506	1000	973
507	1002	971
508	1004	968
509	1006	966
510	1008	964
511	1009	962
512	1011	960
513	1013	958
514	1014	955
515	1016	953
516	1018	951
517	1019	948
518	1022	947
519	1024	945
520	1025	943
521	1027	940
522	1029	938
523	1030	936
524	1032	934
525	1034	932
526	1036	929
527	1038	927
528	1039	925
529	1041	923
530	1043	921
531	1045	919
532	1047	917
533	1048	915
534	1050	912
535	1051	910
536	1053	908
537	1055	906
538	1057	904
539	1058	901
540	1060	899
541	1062	897
542	1063	895
543	1065	893
544	1067	890
545	1068	888
546	1070	886
547	1072	884
548	1073	882
549	1076	880
550	1078	878
551	1080	877
552	1082	875
553	1084	872
554	1086	871
555	1088	869
556	1090	867
557	1091	864
558	1093	862
559	1095	860
560	1096	858
561	1098	855
562	1099	853
563	1101	851
564	1103	849
565	1105	847
566	1107	845
567	1108	843
568	1110	841
569	1111	838
570	1113	836
571	1115	834
572	1116	832
573	1118	830
574	1120	828
575	1122	826
576	1124	824
577	1125	821
578	1127	819
579	1129	817
580	1130	815
581	1132	813
582	1133	810
583	1135	808
584	1137	807
585	1139	805
586	1141	803
587	1144	801
588	1145	799
589	1147	797
590	1149	795
591	1151	793
592	1153	791
593	1154	789
594	1156	786
595	1157	784
596	1159	782
597	1160	780
598	1162	778
599	1164	776
600	1165	773
601	1167	772
602	1169	770
603	1171	767
604	1172	765
605	1174	763
606	1176	761
607	1177	759
608	1179	757
609	1181	755
610	1183	753
611	1185	751
612	1186	749
613	1188	747
614	1190	745
615	1191	743
616	1193	740
617	1195	738
618	1196	736
619	1198	734
620	1199	732
621	1201	730
622	1203	728
623	1205	726
624	1206	724
625	1208	722
626	1210	720
627	1211	717
628	1213	715
629	1215	713
630	1217	711
631	1218	709
632	1220	707
633	1221	705
634	1223	703
635	1225	701
636	1226	699
637	1228	697
638	1230	695
639	1232	693
640	1235	692
641	1237	690
642	1239	688
643	1241	686
644	1242	683
645	1244	681
646	1245	679
647	1247	677
648	1249	675
649	1251	674
650	1253	672
651	1255	669
652	1256	667
653	1258	665
654	1260	663
655	1261	661
656	1263	659
657	1265	657
658	1266	655
659	1268	653
660	1270	651
661	1272	649
662	1274	647
663	1276	645
664	1277	643
665	1279	641
666	1281	640
667	1283	637
668	1285	635
669	1286	633
670	1288	631
671	1290	629
672	1291	627
673	1293	625
674	1295	623
675	1297	621
676	1298	619
677	1300	617
678	1302	615
679	1304	613
680	1305	611
681	1307	609
682	1308	607
683	1310	605
684	1311	603
685	1314	601
686	1316	599
687	1317	597
688	1319	595
689	1321	593
690	1323	591
691	1325	589
692	1326	587
693	1328	585
694	1330	583
695	1332	582
696	1335	580
697	1337	578
698	1338	576
699	1340	574
700	1342	572
701	1344	570
702	1346	568
703	1347	566
704	1349	564
705	1351	562
706	1353	561
707	1355	559
708	1357	557
709	1358	555
710	1360	553
711	1362	551
712	1364	549
713	1366	547
714	1368	545
715	1370	543
716	1372	541
717	1374	539
718	1376	537
719	1378	536
720	1380	534
721	1382	532
722	1384	530
723	1386	528
724	1387	526
725	1389	524
726	1391	522
727	1392	520
728	1395	518
729	1397	516
730	1399	514
731	1400	512
732	1402	510
733	1404	509
734	1406	507
735	1407	505
736	1409	502
737	1411	501
738	1413	499
739	1414	497
740	1416	495
741	1418	493
742	1420	491
743	1422	489
744	1424	487
745	1426	485
746	1428	483
747	1431	482
748	1432	480
749	1434	478
750	1436	476
751	1438	474
752	1440	472
753	1442	470
754	1444	468
755	1446	466
756	1448	464
757	1450	463
758	1452	461
759	1453	459
760	1455	457
761	1457	455
762	1459	453
763	1460	451
764	1463	449
765	1465	447
766	1467	445
767	1469	443
768	1470	441
769	1472	439
770	1473	437
771	1475	435
772	1478	434
773	1480	432
774	1482	430
775	1484	428
776	1486	426
777	1487	424
778	1489	422
779	1491	420
780	1493	418
781	1495	416
782	1497	414
783	1499	413
784	1501	411
785	1502	409
786	1504	407
787	1505	405
788	1507	403
789	1509	401
790	1511	399
791	1513	397
792	1515	395
793	1517	393
794	1519	391
795	1520	389
796	1522	387
797	1524	385
798	1526	384
799	1528	382
800	1530	380
801	1532	378
802	1534	376
803	1535	374
804	1537	372
805	1538	370
806	1540	368
807	1542	366
808	1544	364
809	1546	362
810	1548	360
811	1549	358
812	1551	356
813	1553	354
814	1554	352
815	1556	351
816	1558	349
817	1560	347
818	1562	345
819	1564	343
820	1565	341
821	1567	339
822	1568	337
823	1570	335
824	1571	333
825	1573	331
826	1576	329
827	1578	327
828	1580	325
829	1582	324
830	1584	322
831	1585	320
832	1587	318
833	1589	316
834	1591	314
835	1592	312
836	1594	310
837	1596	308
838	1597	306
839	1599	304
840	1601	302
841	1602	300
842	1604	298
843	1605	296
844	1607	294
845	1609	292
846	1610	290
847	1612	289
848	1613	287
849	1615	285
850	1617	283
851	1618	281
852	1620	279
853	1623	277
854	1625	275
855	1627	273
856	1628	271
857	1630	269
858	1632	267
859	1633	265
860	1635	263
861	1637	262
862	1639	260
863	1641	258
864	1644	256
865	1646	254
866	1648	252
867	1649	250
868	1651	248
869	1652	246
870	1654	245
871	1656	243
872	1658	241
873	1660	239
874	1662	237
875	1664	235
876	1666	233
877	1668	231
878	1670	229
879	1671	227
880	1673	226
881	1675	224
882	1677	222
883	1679	220
884	1681	218
885	1682	216
886	1684	214
887	1686	212
888	1688	210
889	1690	208
890	1692	207
891	1694	205
892	1696	203
893	1698	201
894	1700	199
895	1701	197
896	1703	195
897	1705	193
898	1707	191
899	1709	189
900	1711	188
901	1713	186
902	1715	184
903	1717	182
904	1719	180
905	1721	178
906	1724	176
907	1726	174
908	1728	173
909	1730	171
910	1731	169
911	1733	167
912	1735	165
913	1738	163
914	1740	161
915	1742	159
916	1743	157
917	1745	155
918	1747	154
919	1749	152
920	1751	150
921	1753	148
922	1755	146
923	1757	144
924	1759	142
925	1761	140
926	1763	138
927	1764	136
928	1766	134
929	1768	133
930	1770	131
931	1772	129
932	1774	127
933	1775	125
934	1777	123
935	1779	121
936	1780	119
937	1782	117
938	1784	115
939	1786	114
940	1788	112
941	1790	110
942	1791	108
943	1793	106
944	1795	104
945	1796	102
946	1798	100
947	1800	98
948	1802	96
949	1804	94
950	1806	93
951	1808	91
952	1811	89
953	1813	87
954	1815	85
955	1817	83
956	1820	81
957	1822	79
958	1824	77
959	1826	76
960	1827	74
961	1829	72
962	1831	70
963	1833	68
964	1835	66
965	1837	64
966	1839	62
967	1841	60
968	1842	58
969	1844	57
970	1845	55
971	1847	53
972	1849	51
973	1851	49
974	1853	47
975	1855	45
976	1856	43
977	1858	41
978	1860	39
979	1861	37
980	1863	36
981	1864	34
982	1866	32
983	1868	30
984	1870	28
985	1872	26
986	1874	24
987	1876	22
988	1877	20
989	1879	18
990	1881	17
991	1883	15
992	1885	13
993	1887	11
994	1888	9
995	1890	7
996	1892	5
997	1894	3
998	1896	1
999	1898	0
