iter	MultiClass
217	0.6510589524
218	0.6459150179
219	0.6420092871
220	0.6373363554
221	0.6332682892
222	0.6295128006
223	0.6254184452
224	0.6217243249
225	0.6199470492
226	0.6160981583
227	0.6135959948
228	0.6102340561
229	0.6091016768
230	0.6046198544
231	0.60247327
232	0.6003594365
233	0.5992766166
234	0.5967580804
235	0.5937762685
236	0.5911160286
237	0.5874492036
238	0.5852429213
239	0.5817599093
240	0.5781818164
241	0.5768893266
242	0.5730184356
243	0.5720720454
244	0.5688090363
245	0.5661195612
246	0.56300004
247	0.5608453852
248	0.557658509
249	0.5552343086
250	0.5521819824
251	0.5497810244
252	0.5462034286
253	0.5439092197
254	0.5412147549
255	0.5378873697
256	0.5348287004
257	0.5323631023
258	0.5295047804
259	0.5266331484
260	0.5244447711
261	0.5216523022
262	0.5193614224
263	0.5168773503
264	0.5147201762
265	0.5121274359
266	0.5104660561
267	0.5088390884
268	0.5062971634
269	0.5046246819
270	0.50166583
271	0.4992653589
272	0.4966957518
273	0.4940706133
274	0.4919640038
275	0.4898781063
276	0.4876172723
277	0.485881283
278	0.4840344612
279	0.48288949
280	0.4816736099
281	0.4797735791
282	0.479381368
283	0.476760983
284	0.4744648678
285	0.4728307735
286	0.4712533685
287	0.4683319146
288	0.4661001842
289	0.4635570809
290	0.4606835355
291	0.4593702049
292	0.45692654
293	0.4552449012
294	0.4532765081
295	0.4507194811
296	0.4490144732
297	0.4465197843
298	0.4439951709
299	0.441907555
300	0.4392365151
301	0.438269775
302	0.4354879868
303	0.4328651398
304	0.4307920716
305	0.4287484993
306	0.4267133017
307	0.4249938415
308	0.4230281708
309	0.4224198984
310	0.4202403193
311	0.4188529335
312	0.4165807552
313	0.4135694198
314	0.4120131861
315	0.4092457949
316	0.4071098532
317	0.4045161747
318	0.4023182878
319	0.4008548102
320	0.400121936
321	0.3993522188
322	0.3974869511
323	0.3954366225
324	0.3934257623
325	0.3915237459
326	0.3890512958
327	0.3874694499
328	0.385429624
329	0.3834152373
330	0.3824887548
331	0.3803684339
332	0.3791544346
333	0.3771225194
334	0.3757316384
335	0.3735434648
336	0.3720806418
337	0.3700376616
338	0.3688248426
339	0.3682882451
340	0.366147088
341	0.3651828497
342	0.3636627055
343	0.3616778131
344	0.3599554715
345	0.3585434783
346	0.3570748354
347	0.3555262921
348	0.3534431196
349	0.3525414512
350	0.3524115615
351	0.3514007171
352	0.350102233
353	0.348240214
354	0.3466168491
355	0.3447625983
356	0.3431571381
357	0.3414737325
358	0.3405929875
359	0.3391760638
360	0.338512017
361	0.3373602341
362	0.3359503799
363	0.3347438755
364	0.3335294245
365	0.3326960809
366	0.3316233425
367	0.3308294954
368	0.3293800232
369	0.3285231857
370	0.326631644
371	0.3254392768
372	0.3240204343
373	0.3227163588
374	0.3211090364
375	0.3198634121
376	0.3180584851
377	0.3168166415
378	0.3154866998
379	0.3139804796
380	0.3126762622
381	0.3110895358
382	0.3096716913
383	0.3082210347
384	0.3071018919
385	0.3058402411
386	0.304534957
387	0.3031064683
388	0.301504736
389	0.3000221909
390	0.2988107605
391	0.2977758235
392	0.2964306355
393	0.2952665163
394	0.2942868568
395	0.2931873807
396	0.2919371155
397	0.291007972
398	0.2903370281
399	0.289448786
400	0.2884250506
401	0.2871755213
402	0.2859432364
403	0.2845108132
404	0.2829071948
405	0.2817371378
406	0.2804545628
407	0.2796387271
408	0.2783819992
409	0.2771416426
410	0.2761027735
411	0.2749635379
412	0.2737075889
413	0.2726337528
414	0.2719099545
415	0.2709461694
416	0.2703416321
417	0.2692216075
418	0.268460119
419	0.2675210131
420	0.2671714902
421	0.2661618942
422	0.265011941
423	0.2642669274
424	0.2632843788
425	0.2620661517
426	0.2611393832
427	0.2604001052
428	0.2594357945
429	0.2583390078
430	0.2572918127
431	0.2561161937
432	0.2551954583
433	0.2543592465
434	0.2533964934
435	0.2523950181
436	0.2514199525
437	0.250881169
438	0.2499760175
439	0.2490719419
440	0.2480140518
441	0.2471373618
442	0.246069323
443	0.2451190814
444	0.2440637671
445	0.243342657
446	0.2423935285
447	0.2414164383
448	0.2407953038
449	0.2401272361
450	0.2392209781
451	0.2384760312
452	0.2374395194
453	0.2364334953
454	0.2356105721
455	0.2346625164
456	0.2339146292
457	0.2330875958
458	0.2320847475
459	0.2317410073
460	0.2308767931
461	0.230088315
462	0.2291631925
463	0.2285309735
464	0.2278005668
465	0.2274019659
466	0.2264958449
467	0.2260337658
468	0.2254452404
469	0.2245967443
470	0.223729829
471	0.2229122685
472	0.2220679074
473	0.2212483039
474	0.2209121232
475	0.220488987
476	0.2195447858
477	0.2189226363
478	0.2181316123
479	0.2174107546
480	0.2168681054
481	0.2164831675
482	0.2158003552
483	0.2150684451
484	0.2141902115
485	0.2137666384
486	0.2127728571
487	0.2121862523
488	0.2117655724
489	0.2109879984
490	0.2104621965
491	0.2100025426
492	0.2092212902
493	0.2089373427
494	0.2082585276
495	0.2076120596
496	0.2067947609
497	0.2059345569
498	0.2054595621
499	0.2048620585
500	0.2042885143
501	0.2036850007
502	0.2030338424
503	0.2023580605
504	0.2018273342
505	0.2013871585
506	0.2007008783
507	0.1998668953
508	0.1993464862
509	0.1987497175
510	0.1979273637
511	0.1972923608
512	0.1967995027
513	0.1960916601
514	0.1955900108
515	0.1952909874
516	0.194740136
517	0.1942259536
518	0.1937352302
519	0.1931929203
520	0.1925790538
521	0.1919224323
522	0.1912890631
523	0.1905857632
524	0.1899374888
525	0.1897894722
526	0.1896364493
527	0.1890895216
528	0.1887683064
529	0.1882712108
530	0.1878122354
531	0.1874521991
532	0.1867803394
533	0.1861961777
534	0.1857178262
535	0.1850776296
536	0.184499964
537	0.1839569315
538	0.1834585339
539	0.1828458153
540	0.1822589637
541	0.1821565553
542	0.1815450015
543	0.1808815374
544	0.1802891607
545	0.1797208116
546	0.1790682757
547	0.1784855211
548	0.1779185931
549	0.1773914459
550	0.1768272573
551	0.1764177924
552	0.1758229484
553	0.1753461558
554	0.175034516
555	0.1744085736
556	0.1739477451
557	0.1733229028
558	0.1728266988
559	0.1722617057
560	0.1716093689
561	0.1709566036
562	0.17054668
563	0.1699967038
564	0.1693805982
565	0.1689163042
566	0.1684233616
567	0.1679419687
568	0.1675816403
569	0.1671307728
570	0.1665506437
571	0.1662095103
572	0.1659209871
573	0.1653497152
574	0.1649432373
575	0.164620781
576	0.1642840142
577	0.1638491637
578	0.1633772318
579	0.162891144
580	0.1624419688
581	0.1620185829
582	0.1616181286
583	0.1610767872
584	0.1606333711
585	0.1601883727
586	0.1597068463
587	0.1593212458
588	0.1588414889
589	0.1584972684
590	0.158251155
591	0.1578431916
592	0.1575621125
593	0.1571230079
594	0.1566050654
595	0.1561096554
596	0.1556070634
597	0.1550773155
598	0.1548429403
599	0.1545176535
600	0.1540919619
601	0.1536495998
602	0.1530537801
603	0.1525590239
604	0.1520300609
605	0.1515859575
606	0.1511924238
607	0.1506976634
608	0.1502108269
609	0.1499033395
610	0.1495014646
611	0.1490260583
612	0.1486927933
613	0.1483636422
614	0.1482394029
615	0.1478847082
616	0.147437448
617	0.1470357185
618	0.1465921194
619	0.1461494996
620	0.1459214879
621	0.1455250292
622	0.1452045181
623	0.1448307255
624	0.1445705945
625	0.1443923474
626	0.1440710287
627	0.1436488693
628	0.1434376074
629	0.1430709531
630	0.1426014345
631	0.1424017621
632	0.1420070344
633	0.1416225994
634	0.1412207893
635	0.1407749086
636	0.1404177377
637	0.1401540825
638	0.13980666
639	0.1394605072
640	0.1390800671
641	0.1386999555
642	0.1384033237
643	0.1382402809
644	0.1378351584
645	0.1374357419
646	0.1370952132
647	0.1367232918
648	0.1364298919
649	0.1360617067
650	0.1357563585
651	0.1354015996
652	0.1352540269
653	0.1349035143
654	0.1347058418
655	0.1343365804
656	0.1340019487
657	0.1336023622
658	0.1332821084
659	0.1329493988
660	0.1326899734
661	0.1324428246
662	0.1322177836
663	0.1318020705
664	0.13144074
665	0.1311708786
666	0.130888581
667	0.1305824941
668	0.1301099056
669	0.1298407869
670	0.1296175545
671	0.1294938893
672	0.1291164642
673	0.128864165
674	0.1285715766
675	0.1282346655
676	0.1279912877
677	0.1278659463
678	0.1275167381
679	0.1272361789
680	0.1269092186
681	0.1267166268
682	0.1264412844
683	0.1261217413
684	0.1259102434
685	0.1256125263
686	0.1253485363
687	0.1250684209
688	0.1247755714
689	0.1245507508
690	0.1242263394
691	0.1239274649
692	0.123557045
693	0.1233703451
694	0.1232033496
695	0.1229226653
696	0.1226591686
697	0.1223626174
698	0.1221089123
699	0.1217666983
700	0.1216246999
701	0.1213911483
702	0.1211881875
703	0.1208126769
704	0.1206467964
705	0.1205617214
706	0.1203064875
707	0.120118774
708	0.1198116967
709	0.1195291067
710	0.1192795882
711	0.1190186624
712	0.1188122831
713	0.1186024735
714	0.118479933
715	0.1182612252
716	0.1179134007
717	0.1177306981
718	0.1175106112
719	0.1172720935
720	0.116983653
721	0.1168410249
722	0.1167530416
723	0.116448904
724	0.1162096895
725	0.116004426
726	0.1157014785
727	0.1154933667
728	0.1152162825
729	0.1149328095
730	0.1147769284
731	0.1145818556
732	0.1143088069
733	0.1140852406
734	0.1138132412
735	0.1135281705
736	0.1133354303
737	0.1130974065
738	0.1128960241
739	0.1127090903
740	0.1124610009
741	0.1122751597
742	0.1120558714
743	0.1118734378
744	0.1116619914
745	0.1114156937
746	0.111230287
747	0.1109961436
748	0.1107409018
749	0.110608551
750	0.1103796624
751	0.1103163493
752	0.1100126698
753	0.1097460734
754	0.1094905796
755	0.1092480274
756	0.1090301016
757	0.10872626
758	0.1085150278
759	0.1083258267
760	0.1082376399
761	0.1081036091
762	0.107925672
763	0.1077516505
764	0.1076778403
765	0.1074505992
766	0.1072522347
767	0.1069832199
768	0.1067162144
769	0.1064696401
770	0.1063799609
771	0.1061550211
772	0.1059320954
773	0.1057164931
774	0.1054884037
775	0.1053074605
776	0.1051088655
777	0.1048860243
778	0.1047107871
779	0.1045137874
780	0.1042312428
781	0.1040692947
782	0.1040480282
783	0.1038426561
784	0.1036490775
785	0.1035236206
786	0.1032295475
787	0.1030014344
788	0.1028181208
789	0.1026529607
790	0.1024701254
791	0.1023286926
792	0.1020908751
793	0.1018792131
794	0.1017578147
795	0.1014973602
796	0.1012663646
797	0.101073937
798	0.1009303982
799	0.1007248464
800	0.1004897908
801	0.100272751
802	0.100033076
803	0.09982948452
804	0.09965506098
805	0.09945045491
806	0.09922265885
807	0.09902902512
808	0.09882803241
809	0.0986957502
810	0.0985064221
811	0.09835625676
812	0.09816060393
813	0.09793193708
814	0.09776208355
815	0.09757982749
816	0.09745048042
817	0.09724187812
818	0.09707129212
819	0.09685131104
820	0.09664967863
821	0.0964353658
822	0.09627102279
823	0.0960526088
824	0.0958906962
825	0.09574960655
826	0.09557819315
827	0.09539514677
828	0.09523668573
829	0.09513819371
830	0.0949394666
831	0.0947285545
832	0.09455236181
833	0.09441939384
834	0.09426996362
835	0.0941550576
836	0.0939414209
837	0.09383068265
838	0.09364229991
839	0.09346385132
840	0.09323679421
841	0.09304336493
842	0.09286257188
843	0.09275665967
844	0.09255475107
845	0.09237615795
846	0.0922146312
847	0.09200758333
848	0.09184062926
849	0.0916638777
850	0.0915345555
851	0.09142288343
852	0.09129913957
853	0.09110519025
854	0.0909335073
855	0.09075450653
856	0.09060033791
857	0.09041069663
858	0.0902374426
859	0.09011793014
860	0.08988979984
861	0.08972018645
862	0.0895898397
863	0.08945565598
864	0.08926899086
865	0.08917661289
866	0.08899615285
867	0.08878255885
868	0.08861953472
869	0.08847345621
870	0.08833328018
871	0.08818808672
872	0.08799498032
873	0.0878272548
874	0.08766960268
875	0.08753751698
876	0.0873842564
877	0.08718081311
878	0.0870864852
879	0.086996415
880	0.08681871637
881	0.08664925493
882	0.08649045737
883	0.08633323965
884	0.08627706962
885	0.08616814848
886	0.08599836865
887	0.08583618067
888	0.08569293626
889	0.08557459222
890	0.0854480415
891	0.08535025055
892	0.08523185887
893	0.08505335411
894	0.08490804364
895	0.08474999075
896	0.08463281771
897	0.08450448543
898	0.08435789196
899	0.08423477143
900	0.08414569874
901	0.08400537574
902	0.08388558981
903	0.08378731479
904	0.08365537385
905	0.08350679386
906	0.08335316887
907	0.08322389367
908	0.08303021331
909	0.08285097315
910	0.08271321723
911	0.08262318286
912	0.08251337478
913	0.08238170557
914	0.08225747724
915	0.0821160807
916	0.08196543142
917	0.08184398137
918	0.08173876663
919	0.08162390589
920	0.08150626872
921	0.0813557384
922	0.08122422716
923	0.08112519215
924	0.08107446031
925	0.08099547795
926	0.08086277858
927	0.08074699653
928	0.08063029835
929	0.08049298323
930	0.08042691598
931	0.08030245163
932	0.08014403726
933	0.08006715281
934	0.07992237485
935	0.07977356623
936	0.07966487986
937	0.07954000055
938	0.07945502332
939	0.0793407387
940	0.07921825463
941	0.07913477147
942	0.07900305728
943	0.07884840462
944	0.07875721665
945	0.07867831685
946	0.0785702818
947	0.07844300798
948	0.0782904281
949	0.07819488187
950	0.07804101668
951	0.07795932062
952	0.07789884154
953	0.07777448525
954	0.07771602457
955	0.07756061338
956	0.07747923866
957	0.07734727356
958	0.07724637761
959	0.07716215597
960	0.07704540879
961	0.0769774384
962	0.0768363364
963	0.07675801654
964	0.07661755246
965	0.0765125975
966	0.07640579331
967	0.07630932265
968	0.07616947207
969	0.07604591861
970	0.07595349289
971	0.07582614756
972	0.07573972081
973	0.07559300002
974	0.07544938236
975	0.07533568883
976	0.07519404021
977	0.07503855155
978	0.07488640204
979	0.07478647627
980	0.07465246289
981	0.07455592211
982	0.07443535379
983	0.07433229069
984	0.07422320772
985	0.07411769046
986	0.07402555564
987	0.07390127838
988	0.07379905609
989	0.0736781266
990	0.07357693412
991	0.07347874665
992	0.0733394212
993	0.07322267796
994	0.07311030032
995	0.07298459454
996	0.07287304751
997	0.07282261585
998	0.07270678065
999	0.07262188043
